,index,variable,depth,intensity_bin,mdr,dr,damage_bin_ID,damage_bin_id
1922,22864,depth_meters_2021,0.7379612532344044,22,0.845,0.9835207501762128,11,11
1923,19850,depth_meters_2021,0.2390677259821844,7,0.55,0.6717656099591736,8,8
1924,14284,depth_meters_2021,0.7195080716754574,21,0.84,0.9008116438689154,11,11
1925,1674,depth_meters_2021,0.2964534822435775,9,0.6,0.6135077690585583,8,8
1926,24124,depth_meters_2021,0.4011243906637988,12,0.675,0.789327775282448,9,9
1927,20760,depth_meters_2021,0.7056198885738861,21,0.84,0.8457890230232022,10,10
1928,16155,depth_meters_2021,0.39949761858506994,12,0.675,0.7431071838317823,9,9
1929,7777,depth_meters_2021,0.056168117038015386,2,0.225,0.09070714920799294,2,2
1930,102,depth_meters_2021,0.45217547187220664,14,0.725,0.5892185286967909,7,7
1931,3305,depth_meters_2021,0.7993679992409354,24,0.85,0.9829813361656474,11,11
1932,20176,depth_meters_2021,0.7295177867248874,22,0.845,0.8656281988595483,10,10
1933,3298,depth_meters_2021,0.5961607716694409,18,0.81,0.8686378747595029,10,10
1934,21384,depth_meters_2021,0.6906577248316058,21,0.84,0.945477986204367,11,11
1935,22397,depth_meters_2021,0.3976417438135158,12,0.675,0.8182365145297564,10,10
1936,20537,depth_meters_2021,0.9016602707516834,27,0.85,0.9997043336497992,11,11
1937,5411,depth_meters_2021,0.47023928885174315,14,0.725,0.8289360975801568,10,10
1938,30527,depth_meters_2021,0.7750573742969277,23,0.85,0.8891260850214342,10,10
1939,30198,depth_meters_2021,0.38032568355255536,12,0.675,0.7625791283365823,9,9
1940,22241,depth_meters_2021,0.21921567700693112,7,0.55,0.6337579520746972,8,8
1941,17796,depth_meters_2021,0.12785554259002896,4,0.36,0.3343667869416349,5,5
1942,19893,depth_meters_2021,0.4415499961588819,13,0.7,0.8261757145760741,10,10
1943,24875,depth_meters_2021,0.30985947809152914,9,0.6,0.7193579970519977,9,9
1944,21071,depth_meters_2021,0.6042787075069643,18,0.81,0.7866240057863129,9,9
1945,28706,depth_meters_2021,0.9733634293538656,29,0.85,0.7944858538604687,9,9
1946,9206,depth_meters_2021,0.9480288156039344,28,0.85,0.9782282756960667,11,11
1947,4166,depth_meters_2021,0.7747651423087693,23,0.85,0.9963437386908518,11,11
1948,26161,depth_meters_2021,0.3082757295921914,9,0.6,0.727655666089699,9,9
1949,2361,depth_meters_2021,0.9928540111057157,29,0.85,0.9196874885441807,11,11
1950,24073,depth_meters_2021,0.4882132542986094,15,0.75,0.8639455840445612,10,10
1951,12456,depth_meters_2021,0.40733470170053265,12,0.675,0.7569461435884095,9,9
1952,29263,depth_meters_2021,0.49582348860449155,15,0.75,0.8324101282592039,10,10
1953,20090,depth_meters_2021,0.3251822402773412,10,0.625,0.5404680107159143,7,7
1954,30081,depth_meters_2021,0.4419352724765122,13,0.7,0.8474918064238683,10,10
1955,20817,depth_meters_2021,0.08450682023276468,3,0.3,0.18859157713854102,3,3
1956,10730,depth_meters_2021,0.2735934696303083,8,0.58,0.6764133003981585,8,8
1957,14557,depth_meters_2021,0.3445158003169356,10,0.625,0.6825106228011671,8,8
1958,24655,depth_meters_2021,0.02696761701470407,1,0.15,0.09267210326367681,2,2
1959,2447,depth_meters_2021,0.468195046780831,14,0.725,0.7713512735821931,9,9
1960,12989,depth_meters_2021,0.8398277009274243,25,0.85,0.9662548222505046,11,11
1961,29849,depth_meters_2021,0.019121294767265762,1,0.15,0.14617752030615716,3,3
1962,7324,depth_meters_2021,0.6455980218747766,19,0.82,0.8137644637830332,10,10
1963,19247,depth_meters_2021,0.9996560188786597,29,0.85,0.9970454053193786,11,11
1964,20939,depth_meters_2021,0.8313679423224386,25,0.85,0.8481112485172028,10,10
1965,28594,depth_meters_2021,0.15686078745016563,5,0.42,0.4066443860778182,6,6
